"date_time","Dry Bulb Temperature [°C]","Relative Humidity [%]","Wind Speed [m/s]","Wind Direction [Deg]","Global Horizontal Radiation [W/m2]","Direct Normal Radiation [W/m2]","Diffuse Horizontal Radiation [W/m2]","in.county"
2018-07-01,23.9,81.79,0,0,0,0,0,"G4500730"
2018-07-01 01:00:00,22.4,87.41,0,0,0,0,0,"G4500730"
2018-07-01 02:00:00,22.8,90.14,0,0,0,0,0,"G4500730"
2018-07-01 03:00:00,22.5,93.49,0,0,0,0,0,"G4500730"
2018-07-01 04:00:00,22.8,93.52,0,10,0,0,0,"G4500730"
2018-07-01 05:00:00,22.87,93.52,0.5,30,0,0,0,"G4500730"
2018-07-01 06:00:00,23.05,90.73,0,33.33,4,12,4,"G4500730"
2018-07-01 07:00:00,23.3,93.54,0.38,80,53.5,130.5,36,"G4500730"
2018-07-01 08:00:00,24.4,90.81,1.5,10,49,7.5,46,"G4500730"
2018-07-01 09:00:00,25,90.3,2.1,90,223,54.5,193,"G4500730"
2018-07-01 10:00:00,26,79.21,1.95,160,425,226,260.5,"G4500730"
2018-07-01 11:00:00,27.97,69.66,1.4,70,699,568.5,216,"G4500730"
2018-07-01 12:00:00,28.9,65.15,2.1,90,823,668.5,202,"G4500730"
2018-07-01 13:00:00,28.3,67.46,3.6,110,654,292,369.5,"G4500730"
2018-07-01 14:00:00,30.6,60.91,2.6,146.67,748,549.5,219,"G4500730"
2018-07-01 15:00:00,25.9,87.13,2.6,230,531,253,299,"G4500730"
2018-07-01 16:00:00,29.4,69.76,0,176.67,485,305.5,247,"G4500730"
2018-07-01 17:00:00,28.9,69.66,1.5,220,420.5,254,248.5,"G4500730"
2018-07-01 18:00:00,28.9,74.26,1.3,340,216.5,106,161.5,"G4500730"
2018-07-01 19:00:00,26.13,81.93,2.6,40,57.5,6,55.5,"G4500730"
2018-07-01 20:00:00,24.4,84.92,1.5,360,9.5,2,9.5,"G4500730"
2018-07-01 21:00:00,23.3,93.54,2.1,10,0,0,0,"G4500730"
2018-07-01 22:00:00,23.3,93.54,0,0,0,0,0,"G4500730"
2018-07-01 23:00:00,22.8,96.42,1.5,20,0,0,0,"G4500730"
2018-07-02,23.3,90.73,2.1,50,0,0,0,"G4500730"
2018-07-02 01:00:00,23.18,96.42,0.38,0,0,0,0,"G4500730"
2018-07-02 02:00:00,22.99,96.42,0,0,0,0,0,"G4500730"
2018-07-02 03:00:00,22.8,96.42,1.5,340,0,0,0,"G4500730"
